gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
IL5RA,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.431377619271054,6.1610269479636415,-0.7296493286925871,0.007195389138700609,-2.84524306276542,down,,,Eosinophil,None,IL-5 receptor alpha,1.1533528937583678e-20
IL6,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.56110815316771,5.257517520361209,-0.6964093671934997,0.02768495633006224,-2.3618861528125334,down,,,Inflammation/NF-κB,None,Interleukin 6,1.1533528937583678e-20
KIT,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.8674291978662305,7.74880252745952,-0.8813733295932895,0.003913753359068209,-3.1673730093654213,down,,,Mast cell/allergy,None,SCF receptor / mast cell growth,1.1533528937583678e-20
KMO,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.554911010240686,5.597093026556583,-1.0421820163158966,5.952979769556499e-09,-8.180221164070684,down,,,Tryptophan metabolism,FAD (Vitamin B2),Kynurenine → 3-HK,1.1533528937583678e-20
KYNU,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.34746160636046,8.952805271439017,-0.6053436650785571,0.007810203564833991,-2.8222092367178955,down,,,Tryptophan metabolism,Vitamin B6 (PLP),Kynurenine → anthranilic acid,1.1533528937583678e-20
MAT1A,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.396158391694491,5.403508265868603,-1.0073498741741123,1.8279153009960796e-12,-10.52562921561602,down,,,Methylation,"Magnesium, ATP",Methionine → SAM,1.1533528937583678e-20
MS4A2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.574046217247684,5.406263945587223,-0.8322177283395389,2.878777852603958e-06,-5.7732553884471,down,,,Mast cell/allergy,None,High-affinity IgE receptor beta (FcεRIβ),1.1533528937583678e-20
MTHFR,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.905532514379075,7.861196647347431,0.04433586703164405,0.6537209232094342,0.4529077655492514,unchanged,,,Methylation,"FAD (Vitamin B2), Folate","5,10-MTHF → 5-MTHF",1.1533528937583678e-20
MTR,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.122788864420186,7.386931743116399,-0.2641428786962132,0.1267323900786855,-1.5805031976303068,unchanged,,,Methylation,"Vitamin B12 (cobalamin), 5-MTHF (folate)",Homocysteine → methionine,1.1533528937583678e-20
MTRR,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.136151530519172,6.704922725103265,-0.5687711945840936,1.6485958481275216e-07,-6.578244843820335,down,,,Methylation,"FAD (Vitamin B2), SAM",MTR reactivation,1.1533528937583678e-20
NFKB1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.199856495432394,8.40829166091458,-0.20843516548218588,0.023259217210773637,-2.388580216276219,unchanged,,,Inflammation/NF-κB,Zinc (zinc finger),NF-κB p50 subunit,1.1533528937583678e-20
PRG2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.172229614935913,5.15599928309992,-0.9837696681640073,1.3389404961111078e-15,-21.05463625005058,down,,,Eosinophil,None,Major basic protein (MBP),1.1533528937583678e-20
PTGS2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.181171213983443,8.21723233354714,-0.036061119563695954,0.9328011304487677,-0.08502973439593664,unchanged,,,Inflammation/NF-κB,Iron (heme),"COX-2, prostaglandin synthesis",1.1533528937583678e-20
RELA,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.417083444484618,7.901896187582991,0.5151872569016271,4.040598028867248e-07,6.306792843589647,up,,,Inflammation/NF-κB,Zinc (zinc finger),NF-κB p65 subunit,1.1533528937583678e-20
RNASE2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.700946919601493,5.309696234391062,-0.6087493147895691,8.799973477601024e-05,-4.592401666037931,down,,,Eosinophil,None,Eosinophil-derived neurotoxin,1.1533528937583678e-20
RNASE3,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.192421466763255,5.195452199254992,-1.0030307324917365,8.517067523138717e-21,-21.536288613025196,down,,,Eosinophil,None,Eosinophil cationic protein,1.1533528937583678e-20
SLC11A2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.9931293674872,8.246925951673836,-0.2537965841866354,0.006178791388731834,-2.918515973370535,unchanged,,,Nutrient transporters,Iron,Fe2+ / divalent metal transporter (DMT1),7.569146716985598e-12
SLC30A1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.484184473320988,7.015198986743953,-0.5310145134229654,9.568320186537322e-09,-7.606471184169575,down,,,Nutrient transporters,Zinc,Zinc efflux transporter,7.569146716985598e-12
SLC39A14,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.77068232390076,6.253530618901781,-0.48284829500102067,0.16893643649866585,-1.4226407383945727,down,,,Nutrient transporters,"Zinc, Iron, Manganese",Divalent metal importer,7.569146716985598e-12
SLC40A1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.57238355798269,7.989265587669398,-0.4168820296867084,0.049017869590698454,-2.0647410048338624,down,,,Nutrient transporters,"Iron, Copper (hephaestin)",Iron exporter (ferroportin),7.569146716985598e-12
SLC41A1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.211630469871935,6.568803412759332,-0.35717294288739776,0.00919023816612227,-2.7605975580790685,down,,,Nutrient transporters,Magnesium,Mg2+ transporter,7.569146716985598e-12
SOD1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,10.550550862402885,9.714639792414488,0.8359110699883967,3.1258426462948865e-11,9.005997226042776,up,,,Antioxidant defense,"Copper, Zinc",Cu/Zn superoxide dismutase,7.569146716985598e-12
SOD2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,7.822609469192747,7.972474664899489,-0.1498651957067425,0.5158195038519634,-0.6570339256811275,unchanged,,,Antioxidant defense,Manganese,Mn superoxide dismutase,7.569146716985598e-12
TDO2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.03719515467604,5.601295335658757,-0.5641001809827175,0.03514073336781433,-2.239584119896929,down,,,Tryptophan metabolism,Iron (heme),Trp → kynurenine (hepatic),7.569146716985598e-12
TNF,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.917495790232989,5.414954950739191,-0.4974591605062022,0.0008143598944657869,-3.7845436784910493,down,,,Inflammation/NF-κB,None,Tumor necrosis factor alpha,7.569146716985598e-12
TPH1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.675219701781423,5.672924944029205,-0.9977052422477817,6.754007839771765e-12,-10.717896800635886,down,,,Tryptophan metabolism,"Iron (non-heme), BH4 (tetrahydrobiopterin)",Trp → 5-HTP (serotonin pathway),7.569146716985598e-12
TPSAB1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.699120946269513,5.322236588194163,-0.6231156419246497,0.0014341152193554042,-3.5868705563621552,down,,,Mast cell/allergy,Zinc (structural),Tryptase alpha/beta 1,2.3553807411830043e-10
TRPM6,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.058494315098504,5.8218904659914275,-0.7633961508929232,2.3129725815815292e-05,-5.236418781424788,down,,,Nutrient transporters,Magnesium,Epithelial Mg2+ channel,2.3553807411830043e-10
